video,yt_id,duration,title,singer,audio,lyric,year,match,pn,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variation,repeat_area_size,repetition_ratio
아이유(IU) - Blueming(블루밍) [가사_Lyrics],yCFMJrneOUs,3:38,Blueming,IU,Q1,Q1,2019,2,0,0.032507739938080496,5.524898997402447,410.5345162761952,65.40639132514966,345.1281249510455,0.020027991384267807,847738,0.542986709367494
아이유(IU) - 좋은 날 [가사_Lyrics],V6WWJNpIJN4,3:56,좋은날,IU,Q1,Q1,2010,2,0,0.17260061919504643,1734.3951801512521,210.06515286029162,65.40639132514966,144.65876153514196,0.01078410167247057,700888,0.44892746196957567
아이유(IU) - 이 지금 [가사_Lyrics],RUuRcR7ZQUg,2:57,이 지금,IU,Q4,Q1,2017,2,0,0.08746130030959752,172.29092761839945,659.2551138257398,68.89654412432702,590.3585697014128,0.0026575259398669004,397244,0.25443971176941554
다비치 - 안녕이라고 말하지마 [가사_Lyrics],uw83-MnCpAo,3:51,안녕이라고 말하지마,다비치,Q4,Q4,2011,2,0,0.06424148606811146,43.8502399860058,130.0593564629863,65.40639132514966,64.65296513783665,0.00231707701459527,1123978,0.7199218574859888
다비치 - 거북이 [가사_Lyrics],ofBinMrHfHQ,3:44,거북이,다비치,Q1,Q1,2013,2,0,0.18421052631578946,957.1067895791198,175.62564499846297,65.40639132514966,110.21925367331332,0.003834763541817665,515170,0.3299727782225781
2NE1 - I AM THE BEST (내가 제일 잘 나가) - (Color Coded Han_Rom_Eng Lyrics) _ by Yankat,rrZxGvUSeAE,3:31,내가 제일 잘 나가,2NE1,Q1,Q1,2011,2,0,0.13544891640866874,149.68894734445843,298.79793764201077,65.40639132514966,233.3915463168611,0.010773153975605965,1440572,0.9227042433947158
2NE1 (투애니원) - Clap Your Hands (박수쳐) Colour Coded Lyrics (Han_Rom_Eng),XmU1dKcCd8k,3:43,박수쳐,2NE1,Q1,Q1,2010,2,0,0.053405572755417956,25.503869369973827,161.0494265540188,65.40639132514966,95.64303522886914,0.01699664816260338,695352,0.4453815852682146
2NE1(투애니원) - Fire [가사_Lyrics],ahampaoO2Vg,3:45,Fire,2NE1,Q1,Q1,2009,2,0,0.13854489164086686,164.5554513845623,491.03874275729817,65.40639132514966,425.63235143214854,0.005990386009216309,1085536,0.6952992794235389
[Lyrics Video] BOL4(볼빨간사춘기) - Travel(여행),g6U2SS-ZMy8,3:42,여행,볼빨간 사춘기,Q1,Q1,2018,2,0,0.07507739938080496,226.25612006249463,111.27813843321147,65.40639132514966,45.87174710806181,0.011387312784790993,1253074,0.8026094475580464
[M_V] Bolbbalgan4 - Tell Me You Love Me,y5MAgMVwfFs,3:28,좋다고 말해,볼빨간 사춘기,Q1,Q1,2016,2,0,0.06811145510835913,42.266819388664715,622.2539674441617,68.49972922973525,553.7542382144264,0.004090614151209593,256954,0.1645822257806245
[Lyrics Video] BOL4(볼빨간사춘기) - Some(썸 탈꺼야),Je-AOvGZVso,3:02,썸 탈꺼야,볼빨간 사춘기,Q1,Q1,2017,2,0,0.09907120743034056,319.2764427915536,491.03874275729817,65.40639132514966,425.63235143214854,0.011083502322435379,642168,0.4113165732586069
SISTAR (씨스타) - Push Push (푸쉬푸쉬) ~Audio~,4JlGa6X_iV0,3:08,Push push,씨스타,Q1,Q1,2010,2,0,0.1044891640866873,100.79932712860277,499.62194879118596,65.40639132514966,434.21555746603633,0.008695370517671108,761874,0.48798975180144116
SISTAR (씨스타) - So Cool Lyrics [HAN_ROM_ENG],8Z5p1UsKRXo,3:24,So Cool,씨스타,Q1,Q1,2011,2,0,0.17647058823529413,518.2913930930039,130.8127826502993,65.40639132514966,65.40639132514966,0.012543536722660065,1511750,0.9682946357085669
Sistar - Loving U [Audio_DL],pdy02f4HUqs,3:42,Loving U,씨스타,Q1,Q1,2012,2,0,0.05495356037151703,23.808650399217864,139.3941668115768,65.40639132514966,73.98777548642715,0.017434677109122276,1263398,0.8092220976781425
BIGBANG - Fantastic Baby (Audio),5vzv_A45YMc,3:51,Fantastic Baby,빅뱅,Q1,Q1,2012,2,0,0.17647058823529413,617.1811546885333,307.5533855193843,65.40639132514966,242.14699419423462,0.004975802265107632,444332,0.28460016012810246
BIGBANG(빅뱅) - WE LIKE 2 PARTY [가사_Lyrics],JfG8brANDPk,3:16,We like 2 party,빅뱅,Q1,Q1,2015,2,0,0.0673374613003096,27.424819561195832,298.79793764201077,65.40639132514966,233.3915463168611,0.014683707617223263,1304846,0.8357700560448359
BIGBANG - 뱅뱅뱅 (BANG BANG BANG) (AUDIO),mWPBClH1Pjw,3:45,Bang Bang Bang,빅뱅,Q1,Q1,2015,2,0,0.0804953560371517,152.37452673753225,184.9972113558172,65.40639132514966,119.59082003066754,0.011088957078754902,865036,0.5540662930344276
버스커 버스커(Busker Busker) - 벚꽃 엔딩 [가사_Lyrics],uEsT7K_X7Pw,4:22,벚꽃 엔딩,버스커버스커,Q1,Q1,2012,2,0,0.06037151702786378,79.96884135762826,297.0769881570017,65.40639132514966,231.67059683185207,0.001354176551103592,903254,0.5785453963170536
버스커 버스커(Busker Busker) - 꽃송이가 [가사_Lyrics],tHkMjexi2_Q,3:24,꽃송이가,버스커버스커,Q1,Q1,2012,2,0,0.08978328173374613,109.76302610012556,201.74088950502764,65.40639132514966,136.33449817987798,0.0012635982129722834,839234,0.5375397918334668
4.정말로 사랑한다면 - If You Really Love Me,nteCoZ3ZX_Q,4:14,정말로 사랑한다면,버스커버스커,Q1,Q1,2012,2,0,0.04643962848297214,18.747689400837732,146.8323839587038,65.40639132514966,81.42599263355413,0.0025732743088155985,1010852,0.6474632506004804
DNA,SxAvr92fRg4,3:44,DNA,BTS,Q1,Q1,2017,2,0,0.11919504643962849,189.4995465067239,139.3941668115768,65.40639132514966,73.98777548642715,0.011877985671162605,749092,0.47980272217774217
IDOL,9IVhjh15ofo,3:43,IDOL,BTS,Q1,Q1,2018,2,0,0.08746130030959752,64.38335637742144,420.1303057205832,65.40639132514966,354.72391439543355,0.014056967571377754,1314578,0.8420035228182546
Anpanman,EBf6lwkChnQ,3:53,Anpanman,BTS,Q1,Q1,2018,2,0,0.04024767801857585,28.569419816158497,541.703541871763,65.40639132514966,476.29715054661335,0.01595606654882431,549762,0.35212938350680545
K.will(케이윌) - Love Blossom (러브블러썸) [가사_Lyrics],WmCy7VJPPk4,3:37,Love Blossom,케이윌,Q1,Q1,2013,2,0,0.05959752321981424,38.02672315463582,140.20166900511882,65.40639132514966,74.79527767996916,0.0013263467699289322,692896,0.4438084867894315
케이윌(K.will) - 오늘부터 1일 (Day 1) [가사_Lyrics],3fUKF8wKP0I,3:27,오늘부터 1일,케이윌,Q1,Q1,2014,2,0,0.0913312693498452,78.96715858006881,333.4576446322876,65.40639132514966,268.0512533071379,0.006250340025871992,1274226,0.8161575660528423
케이윌(K.will) - 말해! 뭐해_ [태양의 후예 OST] [가사_Lyrics],aFgy_E_PV44,3:38,말해! 뭐해?,케이윌,Q1,Q1,2016,2,0,0.18653250773993807,1368.497479128526,180.77186920887385,65.40639132514966,115.3654778837242,0.0026148627512156963,539694,0.3456807045636509
HyunA (현아) - Bubble Pop! - Color Coded Lyrics (HAN_ROM_ENG),HB_TYdo9jw4,3:34,Bubble Pop!,현아,Q1,Q1,2011,2,0,0.05030959752321981,21.239200030672198,88.32151700497141,85.3129619008554,3.008555104116013,0.012067601084709167,1283236,0.821928582866293
HyunA (현아) – Babe (베베) Lyrics (Han_Rom_Eng),RURqTdDwPBg,3:14,베베,현아,Q1,Q1,2017,2,0,0.037925696594427245,23.240110611622843,237.15608026942812,65.40639132514966,171.74968894427846,0.008176090195775032,629530,0.40322177742193754
비스트(Beast) - 아름다운 밤이야 [가사_Lyrics],sjJFYzjh7m0,3:39,아름다운 밤이야,비스트,Q1,Q1,2012,2,0,0.2306501547987616,568.865222037976,357.39105439674364,65.40639132514966,291.984663071594,0.005419078748673201,1112204,0.7123804643714972
I Like You The Best (니가 제일 좋아),hAiWQ854j4k,3:24,니가 제일 좋아,비스트,Q1,Q1,2010,2,0,0.08746130030959752,115.89070332793372,156.46466200170096,65.40639132514966,91.0582706765513,0.012560248374938965,1156128,0.7405143314651721
Through the Night (밤편지),6744glqD6lk,4:14,밤편지,IU,Q3,Q3,2017,3,0,0.08668730650154799,233.98830802078047,394.2662424412591,65.40639132514966,328.85985111610944,0.008316529914736748,230578,0.1476880704563651
아이유(IU) - 나만 몰랐던 이야기 [가사_Lyrics],BR58ZxI-NKk,3:24,나만 몰랐던 이야기,IU,Q3,Q3,2011,3,0,0.19427244582043343,1199.7457148779342,293.6647679174075,65.40639132514966,228.25837659225786,0.0008887582807801664,138446,0.0886763811048839
