video,yt_id,duration,title,singer,audio,lyric,year,submatch,match,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variation,repeat_area_size,repetition_ratio,key,scale,strength,tempo_variance
BBIBBI (삐삐),BZqfL_2CzKg,3:15,BBIBBI,IU,Q1,Q2,2018,0,1,0.0726056842608072,58.878944070347735,389.7377084050387,65.40639132514966,324.331317079889,0.0228108074516057,43598770,0.6280986232554141,G,major,0.8940593600273132,4.990563720279618
Twenty-three (스물셋),GXNHaLIhyMY,3:15,스물셋,IU,Q1,Q2,2015,0,1,0.069900824471263,57.02890794325844,118.57804013471404,65.40639132514966,53.17164880956439,0.0180086381733417,57895162,0.8350592715176481,C,minor,0.8668016195297241,1.552691168944428
Jam Jam (잼잼),KWjDSRdIFgc,3:39,잼잼,IU,Q1,Q2,2017,0,1,0.1501702852277565,945.6784866267378,169.64319079487348,65.40639132514966,104.23679946972382,0.0100531075149774,47310732,0.5407684773820655,A,minor,0.9640468955039978,4.506090979662503
다비치 (DAVICHI) - 너에게 못했던 내 마지막 말은 (Unspoken Words) _ 가사,inxtzi3d_0I,3:25,너에게 못했던 내 마지막 말은,다비치,Q1,Q3,2019,0,1,0.1247874872492349,1033.2964928184708,367.86341164694414,65.40639132514966,302.4570203217945,0.0155234411358833,41192330,0.5342910077904276,D,major,0.9029999375343324,4.119712334460465
시간아 멈춰라 (시간아 멈춰라),i-SBnhaZSSU,4:29,시간아 멈춰라,다비치,Q1,Q2,2010,0,1,0.1997755331088664,1065.284325213244,926.9577116402556,65.40639132514966,861.551320315106,0.0157071594148874,32124936,0.2412087295734279,Bb,major,0.8869790434837341,1.9867238554914963
Can't Nobody,f57HiOMOWg0,3:29,Can't Nobody,2NE1,Q1,Q2,2010,0,1,0.1457589285714285,803.952995941785,110.0,65.40639132514966,44.59360867485033,0.0140063613653182,72374732,0.910124350043056,A,minor,0.9402156472206116,1.7075645822897552
Hate You,XiVEeuUKfRU,3:32,Hate You,2NE1,Q1,Q2,2011,0,1,0.1096086191732629,171.62274945291847,84.33305895682803,65.40639132514966,18.92666763167837,0.0061678909696638,57512276,0.7016613331047503,A,major,0.8528945446014404,1.6055622213519265
Come Back Home,BuwxrZxEbt0,3:50,Come Back Home,2NE1,Q1,Q3,2014,0,1,0.1145254220155665,722.9810414271071,97.43442710125966,65.40639132514966,32.02803577611,0.0114868003875017,43870036,0.4521176288114221,C,minor,0.8932042717933655,3.273779603584104
심술,blgBQkYBtQ0,2:38,심술,볼빨간 사춘기,Q1,Q2,2016,0,1,0.0997939358257285,115.48704347348335,307.5533855193843,65.40639132514966,242.14699419423465,0.0141105726361274,10512066,0.2306149922672505,E,major,0.9286528825759888,6.483904313102677
"나만, 봄",bWPxFjZ2GX0,3:38,"나만, 봄",볼빨간 사춘기,Q1,Q3,2019,0,1,0.0916773641420624,133.09675607870193,590.7319012233158,65.40639132514966,525.3255098981662,0.0173663962632417,48397104,0.5589075152499072,G,major,0.9326801300048828,4.270901877784774
상상,QEpKgCzikTE,2:56,상상,볼빨간 사춘기,Q1,Q3,2016,0,1,0.0931989924433249,146.71445949493616,587.329535834815,65.40639132514966,521.9231445096653,0.0099031450226902,25694208,0.4567250233302226,G,major,0.935098111629486,4.496635846379828
Bad boy (바빠 (BAD BOY)),LD_LbLnzSDE,3:33,바빠,씨스타,Q1,Q2,2013,0,1,0.1040122110771914,293.76403563510485,594.1539763140034,65.40639132514966,528.7475849888538,0.0091779995709657,58511404,0.702015230881402,G,major,0.945675253868103,4.187258988250258
Shady Girl (가식걸),-94h_QBJcKg,3:16,가식걸,씨스타,Q1,Q2,2010,0,1,0.0746463806014501,174.74628081276978,496.74433811469765,65.40639132514966,431.337946789548,0.0113169932737946,61639482,0.8797437303816855,C#,minor,0.832021176815033,3.231397974789239
Ma boy (MA BOY),p3wgNv2xeA8,3:19,Ma Boy,씨스타,Q4,Q2,2011,0,1,0.1091759205143191,218.36848317740504,1034.4821575295755,65.40639132514966,969.075766204426,0.0118382396176457,45843616,0.6326516102307925,Bb,major,0.9471702575683594,2.943917652212527
SOBER,zT3VfvAjvtk,3:58,맨정신,빅뱅,Q1,Q2,2015,0,1,0.1533424550430023,938.9384759505966,121.34967043801213,65.40639132514966,55.943279112862456,0.0099307708442211,74882112,0.721227601087243,C,major,0.9044189453125,4.936439168166574
삐딱하게 (Crooked),ywoyAdPEyTg,3:45,삐딱하게,GD,Q1,Q2,2013,0,1,0.1942780417269159,879.2828262332335,106.86851352689663,65.40639132514966,41.46212220174699,0.0129108661785721,76434612,0.822585502619674,D,major,0.8816988468170166,2.592962306181897
니가 뭔데 (Who You_),VV2PwivrfOU,3:22,니가 뭔데,GD,Q1,Q2,2013,0,1,0.1324495677233429,212.1524484847478,573.9149106968482,65.40639132514966,508.5085193716985,0.0109289530664682,38956930,0.5227710778961304,C#,major,0.910603165626526,5.020322689577001
첫사랑,_sQhN4dLC60,3:30,첫사랑,버스커버스커,Q4,Q3,2012,0,1,0.139933628318584,969.8061640985982,514.2619893669481,65.40639132514966,448.8555980417984,0.0084869274869561,55656724,0.6875019439810801,C,major,0.865552544593811,4.266770037524171
3. 사랑은 타이밍,eoRV-cuLsCo,4:12,사랑은 타이밍,버스커버스커,Q4,Q3,2013,0,1,0.0954360679970436,625.8795224362494,149.39896882100535,65.40639132514966,83.9925774958557,0.0100109409540891,62689962,0.5393114403898076,A,major,0.8846824765205383,2.882088659618552
1. 서울사람들,zXKAS3zIp1s,3:27,서울사람들,버스커버스커,Q1,Q3,2012,0,1,0.1876548772246001,567.2478197483739,165.76853496220332,65.40639132514966,100.36214363705366,0.0064934128895401,62291718,0.7979359788363855,F,minor,0.9014140367507936,4.505781625667143
Blood Sweat & Tears,tuEZ_8HdnwQ,3:38,피 땀 눈물,BTS,Q1,Q3,2016,0,1,0.1647411210954215,540.9032043150055,96.31529725464738,65.40639132514966,30.90890592949772,0.0138119887560606,49653594,0.5734179228114084,C,minor,0.8383266925811768,4.535998679255673
쩔어,qi3dicwdbdQ,4:01,쩔어,BTS,Q1,Q3,2015,0,1,0.1644577730482732,459.38950544553165,145.14587018501834,65.40639132514966,79.73947885986868,0.0153451720252633,46210554,0.4360443467164914,Bb,minor,0.936397910118103,4.279944318705765
아예 (AH YEAH),B6QlcMCD2Ko,2:57,AH YEAH,WINNER,Q1,Q2,2019,0,1,0.1422198897927053,317.74245078103604,445.11255373284587,65.40639132514966,379.7061624076962,0.007419598288834,40478732,0.7046051076418977,G,major,0.96941077709198,2.483077874489818
You don’t know love (촌스럽게 왜 이래 (YOU DON’T KNOW LOVE)),-6D1nhqoAyY,3:27,촌스럽게 왜 이래,케이윌,Q1,Q2,2012,0,1,0.1335877862595419,763.2033727900372,502.5162292967395,65.40639132514966,437.10983797158985,0.0141630619764328,40455066,0.5147145524090014,C,major,0.902495503425598,4.124107537500533
Please don’t… (이러지마 제발 (PLEASE DON’T…)),x8UCXVZ6IWY,3:56,이러지마 제발,케이윌,Q4,Q3,2012,0,1,0.1522962962962963,465.7134924554185,535.48154601506,65.40639132514966,470.0751546899103,0.0134833892807364,63550332,0.6251458657868908,F#,minor,0.953488826751709,4.535562537489634
Love Equation (이별공식),xvubar0cgH0,3:30,이별공식,빅스,Q1,Q3,2013,0,1,0.1164391164391164,175.14016009520506,361.54373841774776,65.40639132514966,296.13734709259813,0.0113535812124609,64854960,0.8066725737698202,Bb,major,0.9598212242126464,1.1654944404579286
손대지마 (손대지마),O8GCcI9CvBo,3:25,손대지마,에일리,Q1,Q2,2014,0,1,0.141785957736878,946.2291622491244,132.33275396903284,65.40639132514966,66.92636264388318,0.0112862950190901,69313818,0.9033606920161964,G,minor,0.8968798518180847,3.831836405123678
