video,yt_id,duration,title,singer,audio,lyric,year,match,pn,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variation,repeat_area_size,repetition_ratio
아이유(IU) - Blueming(블루밍) [가사_Lyrics],yCFMJrneOUs,3:38,Blueming,IU,Q1,Q1,2019,2,0,0.07365832798802652,49.09875297203402,618.6700483138337,65.40639132514966,553.263656988684,0.015928395092487335,52239650,0.6025054290439458
아이유(IU) - 좋은 날 [가사_Lyrics],V6WWJNpIJN4,3:56,좋은날,IU,Q1,Q1,2010,2,0,0.19465799329785138,801.4294371367857,410.5345162761952,65.40639132514966,345.1281249510455,0.012732121162116528,74291112,0.7277683564746296
아이유(IU) - 이 지금 [가사_Lyrics],RUuRcR7ZQUg,2:57,이 지금,IU,Q4,Q1,2017,2,0,0.1934762593713008,800.17006266641,879.9999999999999,65.40639132514966,814.5936086748502,0.005314289126545191,26916160,0.4708819765029261
다비치 - 안녕이라고 말하지마 [가사_Lyrics],uw83-MnCpAo,3:51,안녕이라고 말하지마,다비치,Q4,Q4,2011,2,0,0.10987903225806452,1051.3054885759461,959.6468047454267,65.40639132514966,894.240413420277,0.0038151273038238287,57633998,0.5907240758023425
다비치 - 거북이 [가사_Lyrics],ofBinMrHfHQ,3:44,거북이,다비치,Q1,Q1,2013,2,0,0.17880107861439534,455.823726291938,177.66631669600923,65.40639132514966,112.25992537085958,0.005986908916383982,50365320,0.5465556307948745
2NE1 - I AM THE BEST (내가 제일 잘 나가) - (Color Coded Han_Rom_Eng Lyrics) _ by Yankat,rrZxGvUSeAE,3:31,내가 제일 잘 나가,2NE1,Q1,Q1,2011,2,0,0.12064786249449097,340.1726734003307,353.2860680198856,65.40639132514966,287.87967669473596,0.010378328152000904,73964364,0.9063802438803276
2NE1 (투애니원) - Clap Your Hands (박수쳐) Colour Coded Lyrics (Han_Rom_Eng),XmU1dKcCd8k,3:43,박수쳐,2NE1,Q1,Q1,2010,2,0,0.101242041540549,86.40402966762194,248.37216905734888,65.40639132514966,182.96577773219923,0.014657814987003803,59053558,0.6490615794500998
2NE1(투애니원) - Fire [가사_Lyrics],ahampaoO2Vg,3:45,Fire,2NE1,Q1,Q1,2009,2,0,0.09181347150259067,84.00865956133052,105.64102395561046,65.40639132514966,40.23463263046081,0.004523151088505983,83899370,0.9089456480655628
[Lyrics Video] BOL4(볼빨간사춘기) - Travel(여행),g6U2SS-ZMy8,3:42,여행,볼빨간 사춘기,Q1,Q1,2018,2,0,0.11134431734704586,537.3735717318771,146.8323839587038,65.40639132514966,81.42599263355413,0.01323382556438446,73585164,0.8176703337907655
[M_V] Bolbbalgan4 - Tell Me You Love Me,y5MAgMVwfFs,3:28,좋다고 말해,볼빨간 사춘기,Q1,Q1,2016,2,0,0.1201255042581802,806.9841048800763,408.1700114541761,65.40639132514966,342.76362012902644,0.01754271797835827,33935984,0.4302172377489638
[Lyrics Video] BOL4(볼빨간사춘기) - Some(썸 탈꺼야),Je-AOvGZVso,3:02,썸 탈꺼야,볼빨간 사춘기,Q1,Q1,2017,2,0,0.15703324808184144,501.03364446857364,499.62194879118596,65.40639132514966,434.21555746603633,0.010181593708693981,39005188,0.6448256991882195
SISTAR (씨스타) - Push Push (푸쉬푸쉬) ~Audio~,4JlGa6X_iV0,3:08,Push push,씨스타,Q1,Q1,2010,2,0,0.0849640822392866,134.99399271133888,165.76853496220332,65.40639132514966,100.36214363705366,0.009757700376212597,43785352,0.6787901314676544
SISTAR (씨스타) - So Cool Lyrics [HAN_ROM_ENG],8Z5p1UsKRXo,3:24,So Cool,씨스타,Q1,Q1,2011,2,0,0.164078556748116,660.9418645248937,663.0741398488134,65.40639132514966,597.6677485236637,0.008921725675463676,68769212,0.9053352596118428
Sistar - Loving U [Audio_DL],pdy02f4HUqs,3:42,Loving U,씨스타,Q1,Q1,2012,2,0,0.1492615481303027,782.9198697212927,748.5871016367529,65.40639132514966,683.1807103116032,0.01172596588730812,71921866,0.7961637459993588
BIGBANG - Fantastic Baby (Audio),5vzv_A45YMc,3:51,Fantastic Baby,빅뱅,Q1,Q1,2012,2,0,0.15081768625075712,560.104621897278,98.56656061031477,65.40639132514966,33.16016928516511,0.01771846041083336,77447616,0.7960602837955415
BIGBANG(빅뱅) - WE LIKE 2 PARTY [가사_Lyrics],JfG8brANDPk,3:16,We like 2 party,빅뱅,Q1,Q1,2015,2,0,0.096283984328624,82.6905308896457,140.20166900511882,65.40639132514966,74.79527767996916,0.013535644859075546,55612168,0.7918263807868633
BIGBANG - 뱅뱅뱅 (BANG BANG BANG) (AUDIO),mWPBClH1Pjw,3:45,Bang Bang Bang,빅뱅,Q1,Q1,2015,2,0,0.14716550937921027,480.4439397524045,223.84553226259098,65.40639132514966,158.43914093744132,0.012824487872421741,55879592,0.6055121381689097
버스커 버스커(Busker Busker) - 벚꽃 엔딩 [가사_Lyrics],uEsT7K_X7Pw,4:22,벚꽃 엔딩,버스커버스커,Q1,Q1,2012,2,0,0.11570615439345429,396.75332395942604,460.8094140410758,65.40639132514966,395.4030227159261,0.0013516491744667292,61669822,0.49149638662640766
버스커 버스커(Busker Busker) - 꽃송이가 [가사_Lyrics],tHkMjexi2_Q,3:24,꽃송이가,버스커버스커,Q1,Q1,2012,2,0,0.13372159415324883,310.50373931429584,468.8642207165331,65.40639132514966,403.4578293913835,0.0013265993911772966,52236096,0.6878373653965348
4.정말로 사랑한다면 - If You Really Love Me,nteCoZ3ZX_Q,4:14,정말로 사랑한다면,버스커버스커,Q1,Q1,2012,2,0,0.11159897548481522,411.00938901279625,403.4817790100553,65.40639132514966,338.07538768490565,0.004907243885099888,61195018,0.5160599896054358
DNA,SxAvr92fRg4,3:44,DNA,BTS,Q1,Q1,2017,2,0,0.17388137356919875,907.6550553371283,171.61434972294217,65.40639132514966,106.20795839779251,0.013682049699127674,41074204,0.4487166814715999
IDOL,9IVhjh15ofo,3:43,IDOL,BTS,Q1,Q1,2018,2,0,0.13947670176170124,192.6701917636028,86.80420620725057,65.40639132514966,21.397814882100917,0.016565736383199692,65322184,0.7161573936776994
Anpanman,EBf6lwkChnQ,3:53,Anpanman,BTS,Q1,Q1,2018,2,0,0.08590791309547538,67.96853565129904,176.64303400994282,65.40639132514966,111.23664268479317,0.01447951141744852,55924802,0.560199956582221
K.will(케이윌) - Love Blossom (러브블러썸) [가사_Lyrics],WmCy7VJPPk4,3:37,Love Blossom,케이윌,Q1,Q1,2013,2,0,0.17300666236836448,769.3385795159805,241.30149553281768,65.40639132514966,175.89510420766803,0.0013905508676543832,31913872,0.371902663241149
케이윌(K.will) - 오늘부터 1일 (Day 1) [가사_Lyrics],3fUKF8wKP0I,3:27,오늘부터 1일,케이윌,Q1,Q1,2014,2,0,0.15782358905035485,357.71895633627287,290.2917403700367,65.40639132514966,224.88534904488702,0.004424159415066242,64063190,0.8208137285086854
케이윌(K.will) - 말해! 뭐해_ [태양의 후예 OST] [가사_Lyrics],aFgy_E_PV44,3:38,말해! 뭐해?,케이윌,Q1,Q1,2016,2,0,0.17470846260832354,636.3127969469365,502.5162292967395,65.40639132514966,437.10983797158985,0.004210723098367453,41906154,0.4840516729557191
HyunA (현아) - Bubble Pop! - Color Coded Lyrics (HAN_ROM_ENG),HB_TYdo9jw4,3:34,Bubble Pop!,현아,Q1,Q1,2011,2,0,0.05928423800717938,61.36123317737263,113.87914162255151,65.40639132514966,48.47275029740186,0.013184846378862858,70738896,0.8448286400662115
HyunA (현아) – Babe (베베) Lyrics (Han_Rom_Eng),RURqTdDwPBg,3:14,베베,현아,Q1,Q1,2017,2,0,0.1240981240981241,430.0040636761115,167.69467255813382,65.40639132514966,102.28828123298416,0.014563468284904957,43369914,0.6335924888067783
